date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2022-03-31,0H8 2022-03-31 08:47:31 Daniel Phillips,1,0H8,0H8,Feed,NA,2022-03-31T08:47:31Z
2022-03-31,0H8 2022-03-31 08:47:31 Daniel Phillips,2,0H8,"0H8, 6U3",Feed,Travel,2022-03-31T08:52:31Z
2022-03-31,0H8 2022-03-31 08:47:31 Daniel Phillips,3,0H8,0H8,Feed,NA,2022-03-31T08:57:31Z
2022-04-12,0H8 2022-04-12 11:28:46 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-04-12T11:28:46Z
2022-04-12,0H8 2022-04-12 11:28:46 Daniel Phillips,2,0H8,0H8,Rest,NA,2022-04-12T11:33:46Z
2022-04-12,0H8 2022-04-12 11:28:46 Daniel Phillips,3,0H8,0H8,Rest,NA,2022-04-12T11:38:46Z
2022-05-19,0H8 2022-05-19 12:26:59 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-05-19T12:26:59Z
2022-05-19,0H8 2022-05-19 12:26:59 Daniel Phillips,2,0H8,"0H8, 8R7",Groom Get,Groom Give,2022-05-19T12:31:59Z
2022-05-19,0H8 2022-05-19 12:26:59 Daniel Phillips,3,0H8,"0H8, 8R7",Groom Give,Groom Get,2022-05-19T12:36:59Z
2022-05-26,0H8 2022-05-26 08:17:47 Daniel Phillips,1,0H8,0H8,Travel,NA,2022-05-26T08:17:47Z
2022-05-26,0H8 2022-05-26 08:17:47 Daniel Phillips,2,0H8,0H8,Feed,NA,2022-05-26T08:22:47Z
2022-05-26,0H8 2022-05-26 08:17:47 Daniel Phillips,3,0H8,0H8,Feed,NA,2022-05-26T08:27:47Z
2022-06-02,0H8 2022-06-02 12:21:24 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-06-02T12:21:24Z
2022-06-02,0H8 2022-06-02 12:21:24 Daniel Phillips,2,0H8,0H8,Feed,NA,2022-06-02T12:26:24Z
2022-06-02,0H8 2022-06-02 12:21:24 Daniel Phillips,3,0H8,0H8,Feed,NA,2022-06-02T12:31:24Z
2022-06-13,0H8 2022-06-13 11:24:04 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-06-13T11:24:04Z
2022-06-13,0H8 2022-06-13 11:24:04 Daniel Phillips,2,0H8,"8R7, 0H8",Groom Give,Groom Get,2022-06-13T11:29:04Z
2022-06-13,0H8 2022-06-13 11:24:04 Daniel Phillips,3,0H8,"0H8, 8R7",Groom Get,Groom Give,2022-06-13T11:34:04Z
2022-06-22,0H8 2022-06-22 09:07:07 Daniel Phillips,1,0H8,0H8,Feed,NA,2022-06-22T09:07:07Z
2022-06-22,0H8 2022-06-22 09:07:07 Daniel Phillips,2,0H8,0H8,Travel,NA,2022-06-22T09:12:07Z
2022-06-22,0H8 2022-06-22 09:07:07 Daniel Phillips,3,0H8,0H8,Feed,NA,2022-06-22T09:17:07Z
2022-07-07,0H8 2022-07-07 09:17:03 Daniel Phillips,1,0H8,0H8,Feed,NA,2022-07-07T09:17:03Z
2022-07-07,0H8 2022-07-07 09:17:03 Daniel Phillips,2,0H8,"0H8, 8R7",Feed,Feed,2022-07-07T09:22:04Z
2022-07-07,0H8 2022-07-07 09:17:03 Daniel Phillips,3,0H8,"0H8, 8R7",Feed,Feed,2022-07-07T09:27:04Z
2022-07-19,0H8 2022-07-19 12:52:32 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-07-19T12:52:32Z
2022-07-19,0H8 2022-07-19 12:52:32 Daniel Phillips,2,0H8,0H8,Rest,NA,2022-07-19T12:57:32Z
2022-07-19,0H8 2022-07-19 12:52:32 Daniel Phillips,3,0H8,0H8,Rest,NA,2022-07-19T13:02:32Z
2022-08-25,0H8 2022-08-25 10:07:58 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-08-25T10:07:58Z
2022-08-25,0H8 2022-08-25 10:07:58 Daniel Phillips,2,0H8,0H8,Rest,NA,2022-08-25T10:12:58Z
2022-08-25,0H8 2022-08-25 10:07:58 Daniel Phillips,3,0H8,0H8,Travel,NA,2022-08-25T10:17:58Z
2022-09-07,0H8 2022-09-07 11:27:48 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-09-07T11:27:48Z
2022-09-07,0H8 2022-09-07 11:27:48 Daniel Phillips,2,0H8,0H8,Rest,NA,2022-09-07T11:32:48Z
2022-09-07,0H8 2022-09-07 11:27:48 Daniel Phillips,3,0H8,0H8,Rest,NA,2022-09-07T11:37:48Z
2022-09-12,0H8 2022-09-12 08:56:31 Daniel Phillips,1,0H8,0H8,Feed,NA,2022-09-12T08:56:31Z
2022-09-12,0H8 2022-09-12 08:56:31 Daniel Phillips,2,0H8,0H8,Travel,NA,2022-09-12T09:01:31Z
2022-09-12,0H8 2022-09-12 08:56:31 Daniel Phillips,3,0H8,0H8,Travel,NA,2022-09-12T09:06:31Z
2022-11-28,0H8 2022-11-28 13:25:01 Daniel Phillips,1,0H8,"8R7, 0H8",Groom Get,Groom Give,2022-11-28T13:25:01Z
2022-11-28,0H8 2022-11-28 13:25:01 Daniel Phillips,2,0H8,"0H8, 8R7",Groom Get,Groom Give,2022-11-28T13:30:01Z
2022-11-28,0H8 2022-11-28 13:25:01 Daniel Phillips,3,0H8,"0H8, 8R7",Groom Give,Groom Get,2022-11-28T13:35:01Z
2022-12-06,0H8 2022-12-06 08:46:58 Daniel Phillips,1,0H8,0H8,Feed,NA,2022-12-06T08:46:58Z
2022-12-06,0H8 2022-12-06 08:46:58 Daniel Phillips,2,0H8,0H8,Feed,NA,2022-12-06T08:51:58Z
2022-12-06,0H8 2022-12-06 08:46:58 Daniel Phillips,3,0H8,0H8,Feed,NA,2022-12-06T08:56:58Z
2022-02-24,0J4 2022-02-24 12:00:32 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-02-24T12:00:32Z
2022-02-24,0J4 2022-02-24 12:00:32 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-02-24T12:05:32Z
2022-02-24,0J4 2022-02-24 12:00:32 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-02-24T12:10:32Z
2022-03-08,0J4 2022-03-08 08:16:06 Daniel Phillips,1,0J4,0J4,Travel,NA,2022-03-08T08:16:06Z
2022-03-08,0J4 2022-03-08 08:16:06 Daniel Phillips,2,0J4,0J4,Feed,NA,2022-03-08T08:21:06Z
2022-03-08,0J4 2022-03-08 08:16:06 Daniel Phillips,3,0J4,0J4,Feed,NA,2022-03-08T08:26:07Z
2022-03-16,0J4 2022-03-16 13:35:51 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-03-16T13:35:51Z
2022-03-16,0J4 2022-03-16 13:35:51 Daniel Phillips,2,0J4,0J4,Travel,NA,2022-03-16T13:40:52Z
2022-03-16,0J4 2022-03-16 13:35:51 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-03-16T13:45:51Z
2022-03-25,0J4 2022-03-25 08:43:38 Daniel Phillips,1,0J4,0J4,Feed,NA,2022-03-25T08:43:38Z
2022-03-25,0J4 2022-03-25 08:43:38 Daniel Phillips,2,0J4,0J4,Feed,NA,2022-03-25T08:48:38Z
2022-03-25,0J4 2022-03-25 08:43:38 Daniel Phillips,3,0J4,0J4,Feed,NA,2022-03-25T08:53:38Z
2022-04-04,0J4 2022-04-04 12:37:05 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-04-04T12:37:05Z
2022-04-04,0J4 2022-04-04 12:37:05 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-04-04T12:42:05Z
2022-04-04,0J4 2022-04-04 12:37:05 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-04-04T12:47:05Z
2022-04-08,0J4 2022-04-08 10:09:44 Daniel Phillips,1,0J4,0J4,Travel,NA,2022-04-08T10:09:44Z
2022-04-08,0J4 2022-04-08 10:09:44 Daniel Phillips,2,0J4,0J4,Travel,NA,2022-04-08T10:14:44Z
2022-04-08,0J4 2022-04-08 10:09:44 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-04-08T10:19:44Z
2022-05-18,0J4 2022-05-18 09:30:30 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-05-18T09:30:30Z
2022-05-18,0J4 2022-05-18 09:30:30 Daniel Phillips,2,0J4,0J4,Travel,NA,2022-05-18T09:35:30Z
2022-05-18,0J4 2022-05-18 09:30:30 Daniel Phillips,3,0J4,0J4,Feed,NA,2022-05-18T09:40:30Z
2022-05-25,0J4 2022-05-25 12:04:53 Daniel Phillips,1,0J4,0J4,Travel,NA,2022-05-25T12:04:53Z
2022-05-25,0J4 2022-05-25 12:04:53 Daniel Phillips,2,0J4,0J4,Feed,NA,2022-05-25T12:09:53Z
2022-05-25,0J4 2022-05-25 12:04:53 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-05-25T12:14:53Z
2022-06-02,0J4 2022-06-02 08:10:28 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-06-02T08:10:28Z
2022-06-02,0J4 2022-06-02 08:10:28 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-06-02T08:15:29Z
2022-06-02,0J4 2022-06-02 08:10:28 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-06-02T08:20:29Z
2022-06-09,0J4 2022-06-09 13:15:00 Daniel Phillips,1,0J4,0J4,Travel,NA,2022-06-09T13:15:00Z
2022-06-09,0J4 2022-06-09 13:15:00 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-06-09T13:20:00Z
2022-06-09,0J4 2022-06-09 13:15:00 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-06-09T13:25:00Z
